file_path,filename,overall_score,structure_score,metadata_score,performance_score,security_score,error_count,warning_count
prompts/analysis\data-quality-assessment.md,data-quality-assessment.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\board-update.md,board-update.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\budget-and-cost-controller.md,budget-and-cost-controller.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\business-strategy-analysis.md,business-strategy-analysis.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\competitive-analysis.md,competitive-analysis.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\interview-questions.md,interview-questions.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\job-description-writer.md,job-description-writer.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\meeting-summary.md,meeting-summary.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\onboarding-checklist-creator.md,onboarding-checklist-creator.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\performance-review.md,performance-review.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\pitch-deck-generator.md,pitch-deck-generator.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\risk-management-analyst.md,risk-management-analyst.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/business\sales-objection-handler.md,sales-objection-handler.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/creative\content-marketing-blog-post.md,content-marketing-blog-post.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/creative\email-newsletter-writer.md,email-newsletter-writer.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/creative\headline-tagline-creator.md,headline-tagline-creator.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/creative\product-description-generator.md,product-description-generator.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/creative\video-script-writer.md,video-script-writer.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/developers\devops-pipeline-architect.md,devops-pipeline-architect.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/developers\microservices-architect.md,microservices-architect.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/developers\refactoring-plan-designer.md,refactoring-plan-designer.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/governance\legal-contract-review.md,legal-contract-review.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-data-insights-assistant.md,m365-data-insights-assistant.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-document-summarizer.md,m365-document-summarizer.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-email-triage-helper.md,m365-email-triage-helper.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-meeting-prep-brief.md,m365-meeting-prep-brief.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-meeting-recap-assistant.md,m365-meeting-recap-assistant.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-personal-task-collector.md,m365-personal-task-collector.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-presentation-outline-generator.md,m365-presentation-outline-generator.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-project-status-reporter.md,m365-project-status-reporter.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/m365\m365-weekly-review-coach.md,m365-weekly-review-coach.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/system\ai-assistant-system-prompt.md,ai-assistant-system-prompt.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/system\prompt-quality-evaluator.md,prompt-quality-evaluator.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/system\tree-of-thoughts-repository-evaluator.md,tree-of-thoughts-repository-evaluator.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/developers\test-automation-engineer.md,test-automation-engineer.md,69.75,95.0,64.0,55.0,50.0,2,7
prompts/advanced\tree-of-thoughts-evaluator-reflection.md,tree-of-thoughts-evaluator-reflection.md,70.0,80.0,56.0,65.0,80.0,2,5
prompts/m365\m365-excel-formula-expert.md,m365-excel-formula-expert.md,70.0,80.0,56.0,65.0,80.0,2,5
prompts/developers\data-pipeline-engineer.md,data-pipeline-engineer.md,70.5,90.0,56.0,65.0,70.0,2,5
prompts/system\legacy-modernization-architect.md,legacy-modernization-architect.md,70.5,90.0,56.0,65.0,70.0,2,5
prompts/developers\mid-level-developer-architecture-coach.md,mid-level-developer-architecture-coach.md,71.25,90.0,59.0,65.0,70.0,2,5
prompts/advanced\chain-of-thought-concise.md,chain-of-thought-concise.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\business-case-developer.md,business-case-developer.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\competitive-analysis-researcher.md,competitive-analysis-researcher.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\competitive-intelligence-researcher.md,competitive-intelligence-researcher.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\consumer-behavior-researcher.md,consumer-behavior-researcher.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\data-analysis-specialist.md,data-analysis-specialist.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\gap-analysis-expert.md,gap-analysis-expert.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\industry-analysis-expert.md,industry-analysis-expert.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\library-network-graph.md,library-network-graph.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\library-structure-treemap.md,library-structure-treemap.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\market-research-analyst.md,market-research-analyst.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\metrics-and-kpi-designer.md,metrics-and-kpi-designer.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\process-optimization-consultant.md,process-optimization-consultant.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\requirements-analysis-expert.md,requirements-analysis-expert.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\stakeholder-requirements-gatherer.md,stakeholder-requirements-gatherer.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\trend-analysis-specialist.md,trend-analysis-specialist.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\user-experience-analyst.md,user-experience-analyst.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/analysis\workflow-designer.md,workflow-designer.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/business\business-process-reengineering.md,business-process-reengineering.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/business\client-presentation-designer.md,client-presentation-designer.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/business\cold-email-generator.md,cold-email-generator.md,72.5,90.0,56.0,65.0,80.0,2,4
prompts/business\crisis-management-coordinator.md,crisis-management-coordinator.md,72.5,90.0,56.0,65.0,80.0,2,4
